GENE_SYMBOL	nct	ndis
EGFR	1466	442
PDCD1	1061	295
ERBB2	841	171
IL5	413	326
ESR1	204	80
MET	182	122
TNFRSF17	112	51
PCSK9	102	56
APOC3	74	34
ROS1	74	70
JAK2	73	89
SSTR2	62	67
SERPINC1	58	65
MAP2K1	55	78
BTK	53	41
DRD2	36	46
CSF1R	28	33
JAK3	27	41
TACSTD2	23	16
TK1	23	33
NTRK2	22	70
F12	17	31
JAK1	17	40
NTRK1	15	63
PTK2	13	39
DCK	10	19
EDNRA	9	8
MEN1	9	19
MYBPC3	9	17
PDE4B	9	19
DRD3	7	10
PAH	7	6
KLKB1	6	6
CACNA1C	5	10
FCGRT	5	5
NTRK3	5	48
TNFSF13	5	9
MASP2	4	6
PTK2B	4	6
SCN10A	4	9
TYK2	4	9
MAP2K2	3	4
TACR1	3	13
CTSC	2	2
TACR3	2	2
TRPM8	2	4
CHRM3	1	5
